,Title,Scope 1,Scope 2 (location based),Scope 2 (market based),Purchased goods and services,Capital goods,Fuel-and-energy-related activities (not included in Scope 1 or 2),Upstream transportation and distribution,Waste generated in operations,Business travel,Employee commuting,Upstream leased assets,Downstream transportation and distribution,Processing of sold products,Use of sold products,End of life treatment of sold products,Downstream leased assets,Franchises,Investments,Other (upstream),Other (downstream)
2,Fiat Chrysler Automobiles NV - Climate Change 2019,1129268.0,2795995,2470137,25496427.0,1854098.0,53798.0,909560.0,1500.0,35659.0,9000.0,0.0,678238.0,,85899110.0,931000.0,0.0,125535.0,,,
5,"Honda Motor Co., Ltd. - Climate Change 2019",1380000.0,3690000,4090000,43900000.0,1230000.0,545000.0,3010000.0,224000.0,279000.0,172000.0,,137000.0,38100.0,257000000.0,4090000.0,,,93200.0,,
9,General Motors Company - Climate Change 2019,1763555.0,4322761,3924338,41330301.0,4384329.0,354415.0,2749778.0,18082.0,54270.0,129750.0,10077.0,1460808.0,120731.0,210371702.0,3353600.0,20459.0,137096.0,,,
12,Groupe PSA - Climate Change 2019,878013.0,435943,307458,22069902.0,,,935949.0,,11555.0,87361.0,,335093.0,,88626258.0,1617689.0,,,,,
18,"Nissan Motor Co., Ltd. - Climate Change 2019",889444.0,2539607,2339883,17476000.0,1182000.0,401000.0,762000.0,192000.0,230000.0,248000.0,,850000.0,9000.0,180882000.0,413000.0,462000.0,,,,
22,Suzuki Motor Corporation - Climate Change 2019,597347.0,644898,611835,8312069.0,731880.0,173638.0,62370.0,3892.0,11480.0,48428.0,,751297.0,,66779603.0,29281.0,,,510787.0,,
25,Isuzu Motors Limited - Climate Change 2019,127860.0,99702,92528,4911174.0,0.0,33513.0,17241.0,6381.0,1078.0,14846.0,,37413.0,678873.0,27039004.0,397.0,,,,,
28,Hyundai Motor Co - Climate Change 2019,831180.0,1920126,,602428.91,2493.37,57813.59,,2745.6,38046.84,17431.0,,845987.2,131775.64,3576346.3,4938.15,1528.33,,378356.97,,
31,Mazda Motor Corporation - Climate Change 2019,132290.0,584740,,4523904.0,93359.0,65419.0,29357.0,4732.0,1635.0,3350.0,,44330.0,,31853000.0,409452.0,,,,,
32,Navistar International Corporation - Climate Change 2019,88982.0,125015,,,,50000000.0,,,,,,,,50000000.0,,,,,,
34,Volkswagen AG - Climate Change 2019,4068261.0,6370514,4291252,67434157.0,14212385.0,1402775.0,4817890.0,2265212.0,708180.0,1009481.0,,,13000.0,332364361.0,1145858.0,1048978.0,1550000.0,,,
35,Renault - Climate Change 2019,663344.0,663271,553366,14173433.0,1567598.0,159351.0,526718.0,1121258.0,78821.0,51964.0,619.0,554838.0,1328.0,84001034.0,1901458.0,,313429.0,1485153.0,,
38,Mahindra &amp; Mahindra - Climate Change 2019,45768.0,247948,234351,8750210.72,323632.08,58312.2,72920.0,16122.0,15315.0,2395.0,0.0,127735.0,,8235550.0,835053.57,80000.0,126072.0,,,
41,Ford Motor Company - Climate Change 2019,1442963.0,3349808,3219716,31161493.0,1207456.0,1200000.0,2283250.0,2336.0,55456.0,818534.0,,,,134477144.0,1300000.0,,1957800.0,,,
42,PACCAR Inc - Climate Change 2019,121123.0,171594,178892,3765405.0,1040603.0,25549.0,1806487.0,309.0,11312.0,45276.0,,566042.0,89387.0,151989572.0,14009.0,16136985.0,,,,
51,SUBARU CORPORATION - Climate Change 2019,344850.0,,333988.99,7418726.0,372211.0,78815.0,1162964.0,28361.0,4446.0,11996.0,,,4027.0,17375396.0,556250.0,,53531.0,,,
52,Ferrari - Climate Change 2019,91001.0,9219,772,,,,,,,,,,,,,,,,,
57,Toyota Motor Corporation - Climate Change 2019,2554576.66,5238108.05,,61188300.0,4180700.0,946100.0,872400.0,124100.0,151000.0,661700.0,,6300.0,1405900.0,338513000.0,3790600.0,,,174500.0,,
58,BMW AG - Climate Change 2019,581703.0,1539378,538622,17221109.0,,,1563919.0,,159039.0,136608.0,,,,52759567.0,1252835.0,,,,,
60,Mitsubishi Motors Corporation - Climate Change 2019,66417.0,418992,451318,6899555.0,407405.0,20586.0,1277592.0,19343.0,4071.0,13778.0,,,,33198740.0,727235.0,,12183.0,,,
Non Answer,,0.0,5.0,20.0,10.0,20.0,15.0,15.0,20.0,10.0,10.0,80.0,35.0,50.0,5.0,10.0,65.0,60.0,75.0,100.0,100.0
